Model,Scenario,Carbon Capture|Geological Storage,Climate Assessment|Exceedance Probability 1.5°C [MAGICCv7.5.3],Emissions|CO2,Final Energy|Electricity,Primary Energy|Biomass,Primary Energy|Fossil,Primary Energy|Non-Biomass Renewables,Primary Energy|Nuclear
AIM/CGE 2.0,SSP1-19,5253.5049,15.83333333,-4474.8741,243.8105,86.7606,46.9562,236.0284,20.5024
AIM/CGE 2.0,SSP1-26,9219.4939,59.83333333,17.7377,222.4464,77.9287,164.1606,180.6178,24.3102
AIM/CGE 2.0,SSP1-34,6312.408,92.0,9037.7818,212.5913,87.855,230.8559,151.7119,23.4631
AIM/CGE 2.0,SSP1-45,41.1098,99.66666667,18738.1346,207.8181,76.3293,275.1111,134.0676,22.5059
AIM/CGE 2.0,SSP2-19,17693.129,10.5,-8986.8596,332.4288,229.5376,144.4921,259.0489,48.8497
AIM/CGE 2.0,SSP2-26,22286.8707,54.0,-4841.6014,319.7706,212.7907,273.3214,219.823,55.5477
AIM/CGE 2.0,SSP2-34,24146.9455,90.83333333,4235.4263,280.3325,179.7726,416.5751,168.4342,59.8294
AIM/CGE 2.0,SSP2-45,20409.2218,99.5,11665.6413,268.4534,185.8113,458.2879,144.8224,68.7232
AIM/CGE 2.0,SSP3-34,18560.994,94.83333333,-3861.9427,247.9277,346.7091,208.6492,182.3554,15.3395
AIM/CGE 2.0,SSP3-45,21130.2342,99.83333333,6401.8363,206.8401,310.0256,374.0985,127.2792,15.4207
AIM/CGE 2.0,SSP3-60,16334.61,100.0,31248.2021,175.3761,269.1727,592.0364,84.0244,9.9631
AIM/CGE 2.0,SSP4-26,18279.3424,53.33333333,-2785.298,311.2304,192.4481,225.2094,187.391,96.6411
AIM/CGE 2.0,SSP4-34,15688.0611,93.0,6327.3842,300.9004,200.7767,286.8659,160.1273,100.5301
AIM/CGE 2.0,SSP4-45,6404.5507,99.66666667,16718.2348,297.3788,190.4815,299.43,153.7939,100.3405
AIM/CGE 2.0,SSP5-26,41348.8258,66.0,-7639.2179,381.1262,437.0701,492.0465,138.6277,72.6428
AIM/CGE 2.0,SSP5-34,44403.4371,94.5,1614.1539,374.3066,393.5593,644.1476,106.4114,89.3027
AIM/CGE 2.0,SSP5-45,46879.2707,99.5,11803.7441,368.9425,339.6921,795.7493,83.9959,98.8215
AIM/CGE 2.0,SSP5-60,34530.7006,100.0,37201.2139,361.7667,310.2639,934.9236,71.2212,89.9369
AIM/CGE 2.1,CD-LINKS-INDC2030i_1600,19586.2732,95.66666667,5989.1869,283.2202,226.5063,421.9392,176.2205,42.9969
AIM/CGE 2.1,CD-LINKS-INDCi,163.1173,100.0,51588.3074,250.7555,167.3033,716.6617,101.8421,40.1494
AIM/CGE 2.1,CD-LINKS-NDC2030i_1000,24280.4575,80.5,-3152.046,308.8575,233.6237,353.6745,197.8148,49.7511
AIM/CGE 2.1,CD-LINKS-NPi2020_1000,25642.0757,61.5,20.1297,284.7372,229.9617,421.1449,182.3295,30.229
AIM/CGE 2.1,CD-LINKS-NPi2020_1600,17696.1912,96.0,8941.5908,279.6766,214.6775,435.1448,179.3566,39.2104
AIM/CGE 2.1,CD-LINKS-NPi2020_400,14763.9594,20.83333333,-6818.7646,363.0748,185.9396,153.4714,299.5607,51.6502
AIM/CGE 2.1,COMMIT-Bridge,16601.56,54.33333333,303.2464,153.1753,187.2701,284.977,59.1621,30.2276
AIM/CGE V2.2,ENGAGE-INDCi2030-1000f,18763.1998,68.33333333,-6000.0,363.8905,225.3659,176.4063,306.8578,43.0496
AIM/CGE V2.2,ENGAGE-INDCi2030-1200,15260.8374,79.0,-0.01,344.0681,178.0582,212.3784,301.0848,41.4138
AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,20176.7623,77.66666667,-6000.0,363.4614,223.915,199.0958,299.9066,41.3781
AIM/CGE V2.2,ENGAGE-INDCi2030-1400,17252.7564,85.5,-0.01,343.6176,176.636,243.7358,291.3695,39.3826
AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,21485.8393,85.33333333,-6000.0,363.8294,222.2532,219.1562,293.9832,40.2803
AIM/CGE V2.2,ENGAGE-INDCi2030-1600,17950.2634,90.16666667,-0.01,343.8623,175.768,254.1075,288.3306,38.8691
